"","time","fingerprint","age","race","gender"
"291",1658343772.81243,"7fde2e18ebd74c7f7db59e71f291b341",28,"White","Male"
"292",1658343870.9274,"b87649de9d8149158763d1cf1d46d307",49,"White","Male"
"293",1658344014.42671,"cf863a69646d3749513ca8819c595ac3",52,"White","Female"
"294",1658344254.43618,"f9bf6895e2590714ca1127785b7e9bf1",38,"White","Other/non-binary"
"295",1658344271.10142,"5e240d0533a53896f5f755b8ea3ccc85",52,"White","Male"
"296",1658344317.68467,"1150c7a9de23d40b6c724c02676184f3",25,"White","Male"
"297",1658344383.7726,"e8313ee7b3f8c034953bec4cf8bf0a00",32,"White","Male"
"298",1658344386.69287,"6c53b8241bfca3d436ea3396d5aac8bd",NA,"White","Female"
"299",1658344469.38801,"17b2d405d82c773abeefd12dbb8e27e6",55,"White","Female"
"300",1658344497.34219,"1a2a7c562430087b5c073380056cac92",41,"White","Male"
"301",1658345998.14464,"8f3461a7aaf3cbd877a38be6159c18df",25,"White","Male"
"303",1658346136.17203,"fc723a30cb6fea876ae0aa75decedf89",44,"White","Female"
"304",1658346181.33673,"c61ff9b41e7f63104e06ee6ac9fcfb9b",22,"Black or African American","Male"
"305",1658346318.69469,"0672c63c7b13041cb65ee2c082f543c4",32,"White","Male"
"306",1658346422.91818,"e7717a24b5d9b330b5982e108e2af479",39,"Black or African American","Male"
"307",1658346685.41714,"8f3461a7aaf3cbd877a38be6159c18df",25,"White","Male"
"309",1658346804.56399,"0162b11a52343e5544dfaafa1a06ca68",38,"White","Female"
"310",1658346871.40536,"b68b6a936136a57998579d26d1cd3ef7",20,"White","Male"
"312",1658346968.87414,"9f6720058571fdeec8ed65abdc100fd2",49,"White","Female"
"313",1658347048.80218,"990cf85db0b89429b72372db08e3d70f",64,"White","Female"
"314",1658347121.24034,"2d849fd098873d50c02da1496ae1bc14",30,"White","Male"
"315",1658347433.36599,"971908f33186077f5519b65d17ee82f3",NA,"White","Male"
"316",1658347460.25345,"449b34a88820deca7a35af5dc2cd6720",NA,"White","Male"
"317",1658347485.03889,"a5774f440c93c0b1e0906e38f9c481cd",28,"Asian","Male"
"318",1658347488.9416,"36aadedc5171a7c01494aa426cd485c7",28,"White","Male"
"319",1658347515.38116,"515c93955df6d0d96ddeb72e694b42bf",38,"White","Male"
"320",1658347616.81422,"149f4624ccba37724fd2a4cf92abeb76",58,"Black or African American","Male"
"321",1658348229.14293,"df5b29f1114f623900234a7d4941e0ce",35,"White","Male"
"322",1658348247.15771,"609422e9d3254f6bd03046a61803f861",44,"White","Female"
"324",1658348309.32505,"e4eeb431cb89e240916812773e49bb0f",23,"White","Male"
"325",1658348452.52488,"19980704e9cdf67839f5c88de80e0ac1",24,"White, Hispanic","Male"
"326",1658348617.66479,"a10e99d71293f21b68ba76adc7c11181",33,"White","Male"
"327",1658348649.88974,"609422e9d3254f6bd03046a61803f861",44,"White","Female"
"329",1658348686.83589,"43e86767a747686484de93dd0460ec91",NA,"Asian","Female"
"330",1658348798.08553,"4ba4ccc47d0a2b7c6a454f7055410c06",54,"White","Female"
"331",1658348809.24713,"1e8de4d8f70c1134f4c9315ab41b2b9e",47,"White","Male"
"332",1658348883.91584,"12fbc05a5acbf8efadbc5b8d727b9487",57,"White","Female"
"333",1658348906.71606,"4195de8618f2343d139487e292fb23a3",19,"White","Male"
"334",1658349897.46956,"45b0d9da10b73d21e91f3dfd3380fd75",38,"White","Female"
"335",1658349925.46775,"e257b1184bc541a26d4d3034a7705608",33,"White, Hispanic","Male"
"336",1658349942.97173,"6afb45e54fb72d5860b7a6c104b17a2c",26,"White","Male"
"337",1658350022.45885,"78a9a22934d18372535c9598e134b2a2",45,"White","Male"
"338",1658350060.03874,"de4e63d0b6ae497820f539ea82ac9b6c",35,"White","Male"
"339",1658350191.97001,"e2071980cb5eb873da60aaf511abff95",38,"White","Female"
"340",1658350285.79462,"47b211f220e4706d17945cd561498084",NA,"White","Male"
"341",1658350289.99508,"aa2a21373f3ee60d3bd4657c5edba678",45,"White","Male"
"342",1658350459.05506,"1046242071fcecc9792cef78226c62c9",27,"White","Male"
"343",1658351409.53578,"a0fc4dcc062abb2ec5860928e04c6313",36,"White","Male"
"344",1658351651.75971,"5134989ade00655f0006022ead66ff9f",49,"White","Female"
"345",1658351752.48386,"1d5e7e29784263d5014bc4dd6ab50aa6",34,"Black or African American","Male"
"346",1658351794.54912,"1b54c94ca08a766984ac0c8ea064c20b",18,"White","Male"
"347",1658351806.59641,"aaad065f4d653133760c3091a1447d9e",51,"White","Male"
"348",1658352530.24367,"fd3661152476f34664a9de80cab112d4",55,"White","Female"
